Title,Author,Average Rating,Rating,Year Published,Edition
Daughters of Earth: Feminist Science Fiction in the Twentieth Century,Justine Larbalestier,4.13,245,2006,3
The Best of the Best: 20 Years of the Year's Best Science Fiction,Robert Silverberg,4.15,864,2005,15
The Opposite of Fiction,M. Jane Early,3.83,42,2021,2
The Feather's Push: A Near-Future Speculative Fiction Thriller,Noel Zamot,4.22,9,0,2
Fine Dreams,Linda N. Masi,5.00,2,0,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Andrew Barger,3.86,28,2013,3
Rejection: Fiction,Tony Tulathimutte,4.50,2,2024,1
"Spectrum: Stories of Science Fiction, Fantasy, the Unusual and the Sometimes Ordinary",Michael Duda,4.06,18,0,6
The Feather's Push: A Near-Future Speculative Fiction Thriller,Noel Zamot,4.22,9,0,2
Better Than Fiction: True Travel Tales from Great Fiction Writers,Alexander McCall Smith,3.43,903,2012,9
Above the Fog: Appalachian Fiction,Karen Lynn Nolan,4.27,939,0,2
MFA vs. NYC: The Two Cultures of American Fiction,Chad Harbach,3.64,838,2014,3
The Things They Carried,Tim O'Brien,4.14,"313,791",1990,132
In the Shadow of Agatha Christie: Classic Crime Fiction by Forgotten Female Writers: 1850-1917,Leslie S. Klinger,3.58,245,1923,5
Flash Fiction: 72 Very Short Stories,Tom Hazuka,3.78,"1,038",1992,8
Flash Fiction Forward: 80 Very Short Stories,Robert Shapard,3.83,"1,009",2006,5
Writing Fantasy & Science Fiction: How to Create Out-of-This-World Novels and Short Stories,Orson Scott Card,3.92,640,2010,11
The Fiction Class,Susan  Breen,3.39,"1,225",2008,8
Story Trumps Structure: How to Write Unforgettable Fiction by Breaking the Rules,Steven James,4.39,703,2013,4
The Fantasy Fiction Formula,Deborah Chester,4.44,795,2016,9
Happy Like This,Ashley Wurzbacher,3.88,265,2019,5
Flatline Constructs: Gothic Materialism and Cybernetic Theory-Fiction,Mark Fisher,4.09,223,0,2
Too Many Carrots (Fiction Picture Books),Katy Hudson,4.05,"1,718",2016,31
You Never Get It Back,Cara  Blue Adams,4.12,435,2021,2
Snuff Fiction,Corgi,3.80,"1,105",1999,6
Sinopticon: A Celebration of Chinese Science Fiction,Xueting Christine Ni,4.03,470,2021,3
Foolish Aspirations; April May Snow Novel #1: A Paranormal Women's Fiction Novel,M. Scott Swanson,4.30,802,0,5
Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish,James Scott Bell,4.10,"5,815",2004,13
Eden: Biblical Fiction of the World's First Family,Brennan S. McPherson,4.20,639,0,4
Rotten Bananas and the Emerald Dream,Muriel Ellis Pritchett,4.06,77,0,2
The Killing Ground: A World War 3 Techno-Thriller Action Event (Nick Ryan's World War 3 Military Fiction Technothrillers),Nick Ryan,4.34,"1,131",0,2
Nameless Cults: The Cthulhu Mythos Fiction of Robert E. Howard,Robert E. Howard,4.07,631,2001,1
Airborne Assault: A World War 3 Techno-Thriller Action Event (Nick Ryan's World War 3 Military Fiction Technothrillers),Nick Ryan,4.41,"1,075",0,2
Classic American Crime Fiction of the 1920s,Leslie S. Klinger,4.02,49,2018,4
Creating Short Fiction: The Classic Guide to Writing Short Fiction,Damon Knight,4.04,777,1981,21
For a New Novel: Essays on Fiction (Northwestern University Press Paperbacks),Alain Robbe-Grillet,3.95,696,1963,40
Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish,James Scott Bell,4.10,"5,815",2004,13
"Sea View Cottage: Romantic Women's Fiction (Cliffside Point, 2)",Ellen Joy,4.67,724,0,3
For a New Novel: Essays on Fiction (Northwestern University Press Paperbacks),Alain Robbe-Grillet,3.95,696,1963,40
Do Not Bring Your Dragon to the Library (Fiction Picture Books) (Pet Perspectives),Julie Gassman,3.84,"1,237",2016,1
Witch Way After Forty: Paranormal Women's Fiction Romance (Silver Sisters Book 1),Jennifer L. Hart,4.39,876,0,4
Is Butter a Carb?: Unpicking Fact from Fiction in the World of Nutrition,Rosie Saunt,4.18,518,0,3
